sentence_id,statement_id,sentence,prediction,targets,labels,confidence
82,SID_201,"2023 Supply Chain Act Annual Report This Annual Report (the Report) is produced in accordance with section 11(1) of the Fighting Against Forced Labour and Child Labour in Supply Chains Act (the Supply Chains Act or the Act) and is filed for the following entities, each a member of the Burnbrae Farms corporate group (Burnbrae Farms)",0,0,approval,0.5700865645407619
83,SID_201,Burnbrae Farms Limited,0,0,approval,0.6855987388623259
84,SID_201,Ferme St-Zotique Lte; and,0,0,approval,0.642464630818031
85,SID_201,"Burnbrae FarmCo 19 Inc, (each a Reporting Entity and collectively, the Reporting Entities, we, us or our) covering the twelve-month financial year ended August 31st, 2023 (the Reporting Period)",0,0,approval,0.584389967897437
93,SID_201,"We offer world-class products such as shell eggs, hard-boiled and liquid eggs, and fully cooked omelets and patties",0,0,signature,0.6611871004507955
94,SID_201,"Burnbrae Farms is committed to providing Canadians from coast to coast with safe, affordable, accessible, nutritious eggs and egg products",0,0,signature,0.7150109748542843
95,SID_201,"We market to retail, industrial, and food service clients across Canada and select US and international markets",0,0,signature,0.630907423240756
96,SID_201,"Burnbrae Farms produces, grades and processes its products only in Canada, where it employs over 1,700 people and partners with over 400 farmers",0,0,approval,0.5995870756818837
96,SID_201,"Burnbrae Farms produces, grades and processes its products only in Canada, where it employs over 1,700 people and partners with over 400 farmers",0,0,signature,0.5995870756818837
97,SID_201,"Burnbrae Farms operates five farms, eight grading facilities and three processing plants located in Quebec, Ontario, Manitoba, Alberta and British-Columbia",0,0,approval,0.617281930290708
97,SID_201,"Burnbrae Farms operates five farms, eight grading facilities and three processing plants located in Quebec, Ontario, Manitoba, Alberta and British-Columbia",0,0,signature,0.617281930290708
98,SID_201,"The Reporting Entities are either producing goods in Canada, selling goods in Canada or into the United States, distributing goods in Canada or abroad, or importing into Canada goods produced outside of Canada",0,0,approval,0.564391227263977
98,SID_201,"The Reporting Entities are either producing goods in Canada, selling goods in Canada or into the United States, distributing goods in Canada or abroad, or importing into Canada goods produced outside of Canada",0,0,signature,0.564391227263977
99,SID_201,"All Reporting Entities are wholly-owned subsidiaries of holdings corporations, themselves held by the Hudson family trust",0,0,approval,0.5865041230538813
100,SID_201,"The Hudson family established the original Burnbrae Farm in Lyn, Ontario in 1891 and still owns and operates Burnbrae Farms",0,0,approval,0.6384693125635506
101,SID_201,"In Canada, the Reporting Entity operates many prominent and valued brands including Egg Creations!, Simply Egg Whites, Egg Bakes!, EGG Bites and EGGS2go",0,0,approval,0.6227080163825163
102,SID_201,The steps we have taken in 2023 to prevent and reduce the risk of forced labour and child labour Our focus in 2023 was on conducting an internal assessment of risks of forced and/or child labour within the Reporting Entities activities and supply chains,0,0,c2 (operations),0.5445369741672831
103,SID_201,We carried out a prioritization exercise,0,0,c2 (operations),0.6117959394717811
104,SID_201,and focused due diligence efforts on the most severe risks of forced and child labour,0,0,c2 (operations),0.5505195917470169
106,SID_201,"Some of these tasks will include performing training, adding clauses to our Supplier Agreements, distributing a survey tool to our largest and most at risk suppliers, analysing and adjusting our temporary foreign workers agency contracts and practices and partnering with provincial and federal Egg Marketing Boards to ensure egg farmers are also in compliance",0,0,c2 (operations),0.5807601838558927
107,SID_201,"Policies, due diligence and controls Burnbrae Farms has, in recent years, adopted several tools aimed at furthering its sustainability goals which include the topics of forced labour and child labour",0,0,c2 (operations),0.5232774089273506
121,SID_201,"The Code, which all employees, officers and directors are required to abide by and sign, was updated in 2022",0,0,c2 (operations),0.5794815420471449
122,SID_201,"The Code states that Burnbrae Farms and all people covered by the Code are required to abide by all laws in the jurisdictions where they operate, which includes the Act",0,0,c2 (operations),0.5761958578121487
123,SID_201,The Code applies the,0,0,c2 (operations),0.6735558793831072
124,SID_201,"same requirement independent of whether we conduct business with international customers, suppliers, contractors or government agencies",0,0,c2 (operations),0.666109835070392
125,SID_201,(c) Confidential Reporting System Burnbrae Farms has established a Confidential Reporting System so that any signatory of the Code can question an action taken by a colleague and report a situation where the signatory suspects an ethics violation or a breach of the Code,0,0,c2 (operations),0.5657794788474773
126,SID_201,The Confidential Reporting System takes the form of a phone hotline which signatories can reach at anytime,0,0,c2 (operations),0.5398007151004031
127,SID_201,"If a signatory reports potential wrongdoing, every effort will be made to protect their confidentiality, as applicable laws permit, and Burnbrae Farms will ensure that no retaliation occurs",0,0,c2 (operations),0.5367156073879839
129,SID_201,We see our goal of eradicating forced labour and child labour from our supply chain as fitting within the Health and Wellbeing Area of Focus of our Sustainability Report,0,0,c2 (operations),0.6056340386400216
130,SID_201,"In 2022, in this Area of Focus, we were on track to meet two targets, we achieved two targets and we established four new targets",0,0,c3 (risk description),0.6461061287537251
131,SID_201,In 2024 we will add progress updates on our goals that address action items following our risk analysis regarding forced and child labour,0,0,c3 (risk description),0.5883763211257123
135,SID_201,"Risks of forced labour and child labour in our operations and supply chains Since 2021, Burnbrae Farms participates in the Temporary Foreign Worker Program (the TFWP) which allows Canadian employers to hire foreign nationals to fill jobs in cases where qualified Canadians arent available",0,0,signature,0.5573472334937145
136,SID_201,"We launched the program in our Lyn, Ontario facilities and due to its success, we have expanded it to other grading locations in Ontario and British Columbia as well as our further processing facilities in Upton, Quebec and Brockville, Ontario",0,0,signature,0.6341369447292805
137,SID_201,We recognize the forced labour risks associated with migrant workers participating in the TFWP,0,0,c2 (structure),0.5778209619311173
142,SID_201,"In its participation in the TFWP, Burnbrae Farms carefully selects the recruiters and employment agents it contracts with",0,0,c2 (operations),0.5996989651022021
143,SID_201,"In fiscal 2023, seventy percent (70% of the t6ask associated with recruiting candidates was performed in-house by Burnbrae Farms HR team",0,0,c3 (risk description),0.6360590013002821
144,SID_201,We aim to avoid the use of employment agents to ensure we are following best practices and to develop the expertise internally,0,0,c2 (operations),0.48666261321349175
9679,SID_322,"MEASURES TAKEN Through the preliminary supplier risk mapping and assessment, ENMAX did not find any instances of forced and/or child labour in the supply chain; therefore, we did not need to deploy any remediation measures",1,1,c2 (structure),0.5836633505678814
9679,SID_322,"MEASURES TAKEN Through the preliminary supplier risk mapping and assessment, ENMAX did not find any instances of forced and/or child labour in the supply chain; therefore, we did not need to deploy any remediation measures",1,1,c2 (supply chains),0.5836633505678814
146,SID_201,"To our knowledge, we have not uncovered any",1,0,c2 (structure),0.7517387936558472
147,SID_201,indications of forced labour or child labour within our operations and supply chain,0,0,c2 (structure),0.5945457040864967
2695,SID_227,"Lion Electric is committed to deal with any report expeditiously, investigate thoroughly and if necessary, take remedial measures in a timely manner",0,0,c2 (supply chains),0.6554165175244918
4880,SID_260,"We also developed a contractual clause in our purchase orders which provides that by accepting the purchase order, the supplier agrees to comply with our Code of Conduct, violations of which may be grounds for the nullification of the purchase order",0,0,c2 (operations),0.5365005164972252
4880,SID_260,"We also developed a contractual clause in our purchase orders which provides that by accepting the purchase order, the supplier agrees to comply with our Code of Conduct, violations of which may be grounds for the nullification of the purchase order",0,0,c2 (supply chains),0.5365005164972252
8536,SID_296,"In the event that a concerning report, or a breach of the Act has occurred in our business or one of our supply chains, we may use any one of the following remediation measures",0,0,c2 (supply chains),0.5571913129918904
8788,SID_301,"If we discover any forced labour or child labour in our business and supply chains, we take the following measures to remediate such forced labour or child labour",0,0,c2 (supply chains),0.5724799359475903
153,SID_201,"In 2024, we aim to integrate sections on forced labour and child labour into the technical training, on-boarding, cross training and coaching programs we are developing",0,0,c2 (operations),0.5591084883938454
154,SID_201,New employees in key roles will receive training through in person or virtual sessions and through our training video project,0,0,c2 (operations),0.6259775582563966
156,SID_201,All employees have signed a copy of the Code,0,0,c2 (operations),0.596281836358472
157,SID_201,This demonstrates that they have read and understood its contents which include sections relating to abidance to laws of the jurisdictions in which employees are located,0,0,c2 (operations),0.6746169805898937
158,SID_201,"Seeing that all of our production, grading, farming and processing activities are located in Canada, the laws to which employees abide include the Act",0,0,signature,0.5657298777201744
158,SID_201,"Seeing that all of our production, grading, farming and processing activities are located in Canada, the laws to which employees abide include the Act",0,0,c2 (operations),0.5657298777201744
160,SID_201,"The efficiency of each Reporting Entity's industry-specific due diligence process is regularly assessed to ensure its relevance and alignment with our business operations, regulatory changes, industry norms, and best practices",0,0,c3 (risk description),0.5913088676002742
161,SID_201,"Through these measures, each entity ensures compliance with all pertinent laws and regulations across our operational jurisdictions, including those addressing forced labour and child labour risks",0,0,c2 (operations),0.6144917443005345
1058,SID_209,undertaken any measures to: (i) remediate forced labour or child labour in its activities and supply chain; or (ii) remediate loss of income that results from any measure taken to eliminate the use of forced labour or child labour in its activities and supply chain,0,0,c2 (supply chains),0.6422687368950348
163,SID_201,"Notably, no issues requiring review were identified in fiscal 2023, and there were no incidents of forced labour or child labour associated with our suppliers through our monitoring processes",1,1,c2 (structure),0.6848404212051186
164,SID_201,"In evaluating the efficacy of our corporate social responsibility risk management approach, we solicit feedback from relevant internal and external stakeholders",0,0,c3 (risk description),0.5997213044418623
1008,SID_209,"Introduction This report (the Report"") is produced by TRX Gold Corporation (the Corporation or TRX Gold) for the financial year starting September 1, 2022 and ending August 31, 2023 (the Reporting Period) and sets out the steps taken by TRX Gold and its subsidiaries, TRX Gold Tanzania Limited (TRX TZ), Tancan Mining Company Limited and Buckreef Gold Company Limited, to prevent and reduce the risk that forced labour or child labour is used at any step during the production of goods in Tanzania or elsewhere, or for goods imported into Canada by the Corporation",0,0,approval,0.5572864393677144
1008,SID_209,"Introduction This report (the Report"") is produced by TRX Gold Corporation (the Corporation or TRX Gold) for the financial year starting September 1, 2022 and ending August 31, 2023 (the Reporting Period) and sets out the steps taken by TRX Gold and its subsidiaries, TRX Gold Tanzania Limited (TRX TZ), Tancan Mining Company Limited and Buckreef Gold Company Limited, to prevent and reduce the risk that forced labour or child labour is used at any step during the production of goods in Tanzania or elsewhere, or for goods imported into Canada by the Corporation",0,0,signature,0.5572864393677144
1010,SID_209,"Structure, activities and supply chains TRX Gold is a Canadian gold mining company focused on operating, developing and exploring its interest in the Buckreef Gold Project (Buckreef) in the United Republic of Tanzania (Tanzania"")",0,0,signature,0.5907475542546756
